Class,Description
A01B1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas hand tools edge trimmers lawns
A01B3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs fixed ploughshares
A01B5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs rolling nondriven tools eg discs rotary driven
A01B7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas disclike soilworking usable either ploughs harrows like
A01B9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs rotary driven tools tilling
A01B11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs oscillating digging piercing tools driven
A01B13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs like special drainage ditch diggers trench land marsh reclamation aerating meadows dredging
A01B15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas elements tools ploughs
A01B17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas ploughs special additional arrangements eg means putting manure clodcrushers takes precedence breaking subsoil
A01B19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas harrows nonrotating tools vineyards
A01B21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas harrows rotary nondriven tools tilling driven
A01B23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas elements tools harrows
A01B25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas harrows special additional arrangements eg means distributing fertilisers takes precedence fertiliser distributors
A01B27/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas clodcrushers
A01B29/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas rollers roads
A01B31/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas drags graders field cultivators
A01B33/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas tilling rotary driven tools eg combination fertiliser distributors seeders grubbing chains sloping axles discs
A01B35/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas other specially adapted crops growing take precedence hand tools
A01B37/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas devices loosening compacted wheels like
A01B39/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas other specially adapted crops growing
A01B41/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas thinning
A01B43/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas gatherers removing stones undesirable roots like eg tractordrawn rakes
