Abstract,GreenV
method manufacturing processed asphalt suspension provided includes dry grinding shingle waste material particle size less cm forming ground recycled introducing virgin heated slurry tank mixing mixed wet machine recovering comprising particles greater microns roofing paving products manufactured also,1
method installing hot asphalt pavement includes heating aggregate temperature f using emitter comprising birefringent material generating electromagnetic radiation wavelength microns millimeter wherein recycled adding mill yield mixture bakedon laying base form first layer lift compacting,1
nonvolatile cold modified asphalt binder recycled mixture using manufactured optimally mixing petroleum native polymer modifier process oil adhesive strength enhancer includes least one selected straight blown gilsonite glance pitch grahamite rubbermodifiedcompound rmc vinyl aromatic hydrocarbonconjugated diene block copolymer including styrenebutadiene sbs styreneisoprene sis styreneethylenebutylene sebs paraffin naphthenic natural mineral rosin esters acryls silicones polyvinyl silicone resins,1
present invention relates thermoplastic copolymer block statistical comprising plural acrylated polyol monomeric units different degrees acrylation hydroxyl groups average degree greater less number also method making using various applications asphalt rubber modifiers adhesives additive fracking fluid oil,1
disclosed asphalt binder compositions methods making pure sterolcrude sterol blends improve various rheological properties,1
method forming asphalt mixture include mixing biosource material bitumen source form mixed catalyst particles added roofinggrade embodiment softening point least approximately c penetration distance greater dmm another viscosity cps temperature combination thereof applied base roofing product pavement,1
disclosed asphalt binder compositions include antiaging additive improves various rheological properties methods making pavements,1
field construction,1
composition useful asphalt additive includes plurality substrate particles coating layer disposed including solid elastomer method producing mixing emulsion comprising another substantially coated first second mix aggregate binder,1
present invention provides asphalt binder compositions specifically combination improve building stones compactibility water resistant damage performancemore composition recycling hotmix mixture warmmixed old improving workability resistance flaking,1
pavement aging reduced applying asphaltcontaining topcoat layer surface treatment containing asphalt binder sterols,1
disclosed asphalt binders methods making compositions sterols improve various rheological properties also determining changes improvements rheoloical,1
asphalt rejuvenating fibers rejuvenation materials selfhealing applications provided include shell surrounding hollow space alginate salts emulsifier plasticizer binder aggregate blends,1
vegetable oil compositions example corn elevated lower alkyl ester content weight percent total composition uses thereof provided,1
method apparatus facilitate recycling least one fraction bitumencontaining materials accomplished dissolving example maltenes asphaltenes roofing shingles solvent aspect comprises dissolution vessel tumbler positioned therein distributor configured wetting second system solidliquid separator vibratory screen solventfraction flash drum comprise solvents useful extract third first extracted composition remaining,1
composition includes asphalt component graphite,1
composition pelletized bitumen method preparing disclosed comprised approximately weight stiffening compound setting water ground asphalt shingles vulcanized rubber uintahite zeolite may type portland cement,1
method forming roofinggrade asphalt mixture include mixing bioasphalt including partially oxidized biosource material bitumen source different particles form embodiment softening point least approximately °c penetration distance greater dmm another viscosity cps temperature combination thereof applied base roofing product,1
system recycling asphalt millings methods thereof provided exemplary embodiments apparatus may comprise blender comprising basin interior volume agitator disposed within adapted agitate grate bottom apertures allow bitumen pass heating conveyor cooling input receiving opening receive cold material applicator apply,1
mastic composition graininess asphaltaggregate substantially asphalitine class adhesive material diameters forms wherein based weight gathered materials made regeneration maximum diameter least ratio studies asphaltene includes recycling amount used manufacturing method bituminous heated raised temperature heating therefore pass expanding chamber；it passes water chamber contact form steam foaming consequently formed；and foams mixed coarse aggregate obtains,1
asphalt compositions products binder comprises tall oil materials possibly previously subjected distillation andor oxidation combined polymer softening point range needle penetration value least rotational viscosity cps water solubility less percent,1
binder compositions comprising bituminous rheology modifier disclosed comprises blend polyol ester free fatty acid component asphalt modified also modifiers help improve hightemperature properties binders without sacrificing lowtemperature performance expand utility reclaimed including shingles pavement thereby helping road construction industry reduce reliance virgin nonrenewable materials,1
present invention relates modified bitumen composition comprising crumb rubber fcc spent catalyst optionally least one low value polymer also discloses method making heating temperature degree c adding heated obtain mixture followed homogenizing minutes hours resultant,1
method making asphalt concrete mixtures including reclaimed pavement rap variability fraction binder occurs able melt mix virgin included mixture previously made difficult select appropriate amount methods described herein permit designer determine combined aggregate order satisfy minimum effective content job formula subject matter thus permits efficient use higher amounts,1
invention relates bitumen modifying agent polymer modified physical chemical methods preparation comprises oilrubber composition obtained mixing shredded waste rubber castor oil also crosslinking component reactive isocyanate groups nco structure contains calculated weight amount wt content particles additionally form compound free,1
invention discloses splitting emulsification method spraytype bitumen regenerant kind plantmix fast comprise following steps step mixed deg c hot water incubated standby highpressure cold mixture convey toward pipeline respectively run expanded rapidly emulsifying agent added expansion gained strong stirring carried well circulating pump sucks holding vessel carries circulation stir bubblefree isolate freeze stop breakdown emulsionthus preferable applicability affected seasonal temperature mobility easy mix costeffective environmental protection energy saving,1
invention relates method producing asphalt reclaimed heated constituents evaporated particular binder wherein least recovered mixed produced manner said form constituent readytouse according enables part amount binders andor plasticisers needed entirely partially replaced accumulate recycling emissions monitored thereby contributing cost reduction production also,1
present invention provides solution two major problems exist today one hand recovering textile fibres extracted recycling processing elts providing asphalt paving industry alternative mixture superior performance existing conventional mixtures specifically discloses granulated additive based rubber powder endoflife tyres comprises fibre composed mainly polyamide polyester together order weight elt b binder c fraction smaller mm addition method obtaining use disclosed,1
invention involves addition ester bottoms asphalt paving composition improve usable temperature range utr byproduct refining feedstock containing portion vegetable oil animal fat,1
method producing absorbent structure article wound dressing like produced using absorption material reel form directly product without first defibering thereafter forming mat good wicking swelling properties well adapted function high degree surface dryness obtained among things addition cellulose fibres may also include superabsorbent andor binding pulp thin therewith obviating need compress regard certain applications softened mechanically prior use,1
present invention relates waterdispersive biodegradable compositions may formed films fibers also polymer blends comprising polylactide watersoluble polymers particularly use grafted copolymers plagrafted compatibilization pla reactive immiscible achieved way main blend components covalently bonded addition carried extrusion,1
provided filtration member use device said comprising layer woven nonwoven fabric two primary surfaces chemically functionalized graphite flakes deposited least one embedded wherein comprise chemical function contain weight noncarbon element selected n h f cl br combination thereof also face mask body configured cover wearer's mouth nose b fastener hold place includes airpermeable outer inner located side worn,1
cartridge applying electromagnetic field emf least one toxin wound skin person animal provided includes power supply controller coupled providing voltage array electrodes configured transmit site ultrasonic also may include sonotrodes sensor measuring resistance impedance tissue treated adjust based,1
novel improved face mask materials inherent virucidal activity onlyreducesnullifies viral load via inhalation reduces transmission contact routes contributing good hygienic practice thus reducing impact asymptomatic carriers patients lowgrade disease community prevents possibility reinhalation carbon dioxiderich air gives comfort wearer variable enhancement filtration hydrophobic activities across multiple layers achieved suit different cohorts within general populace well asthe healthcare system afflicted pandemic uniquely types masks custommade suitable degrees outer middle inner requirements specified enduser populations utilizing commonly available lowcost material addition advantages present invention fabricated biodegradable time washed several times afterusage making cost effective also constructed way fit perfectly without spaces inbetween applications unique combining nanofiltration properties use nanotechnologyincludes advanced artificial ventilator machines airpurifiers airconditionerfiltration systems health care usage bedding scrub suits clothing etc theuse germicidal would complement measures usually practiced seasonalinfluenza considered diseases transmitted route,1
invention provides completely biodegradable filter material preparation method thereof paper pulp added retention agent electret prepare wet web basis weight carrying spunlace obtained step polylactic acid nonwoven fabric obtain plant fiberpolylactic base skinfriendly treatment ensure good wearing comfort performing surface higher electrostatic potential thereby obtaining high efficiency excellent mechanical usability stability performance requirement filtering met meanwhile medical waste prevented generated large quantity due largequantity use disposable mask,1
apparatus collection disposal fats oil grease includes fabric container least one open end biogradable material capable absorbing large quantity positioned adapted placed source andor removal transport location processing,1
invention provides respirator mask comprising filter material piece made airpermeable least one securing band wherein comprises layer nonwoven biodegradable designed head,1
invention relates composite filter material configured airborne particles aerosols reversable attachment face mask one aspect permeable air use human subject wherein said comprises skincompatible inner surface filtering andor capturing adhesive immobilized outer textile comprising first layer suitable contact skin second finepore third largepore fourth another kit covering mouth nose method supplementing properties using,1
disclosed herein degradable filter structures protective coverings including comprise cellulose acetate optionally plasticizer described degrade rapidly known,1
present disclosure relates composition includes base layer outer surface first thickness material plurality cellulose nanofibers physical contact average filtration efficiency less equal particles characteristic length nm μm characterized inhalation resistance mm measured across,1
durable reusable antifog blisterfree sealed face mask slip user's speech highperformance activity constructed antiviral antimicrobial wicking breathable stretch materials optional filtration membrane comprise sustainable recycled,1
novel air filter comprises frame least perimeter portion generally open central area filtering member decomposable organic fibrous material securely retained across thereby permit passing may also constructed plastics,1
air filter apparatus may comprise frame hempbased disposed within configured sequester carbon dioxide response flowing,1
provided face mask comprising body configured cover least wearer's mouth nose b fastener hold place wearer wherein includes airpermeable outer layer preferably hydrophobic material eg waterrepelling fibers inner located side worn graphene foam disposed embedded totally partially pore wall surfaces may deposited antiviral antibacteria compound,1
cellulosebased filter media disclosed first phase second wherein includes refined cellulose fibers along least one manmade noncellulose facial mask process making also due composition andor incorporating partially biodegradable compostable recyclable formed wet laid,1
fluid control device includes support structure configured deployed selected location borehole filtration medium disposed filter compacted initial shape prior deployment first polymeric material withstand temperature forming porous including plurality passages second memory polymer within expand cause,1
invention discloses selfheating gasgenerating foam fracturing fluid preparation method thereof wherein comprises following raw materials percentage mass percent thickening agent crosslinking sodium nitrite ammonium chloride heat generating catalyst breaking aid gel breaker balance water acidresistant modified guanidine gum lowtemperature good performance automatically generate gas pressurize enables foamed site greatly reduces requirement ground equipment plugging profile control effect stronger conventional low filtration loss better sand carrying realizes promote flowback liquid suitable transformation middle shallow layers highpourpoint oil crude heavy viscosity lowpressure lowpermeability reservoir reservoirs,1
invention discloses kind guanidine gum fracturing fluid organic titanium crosslinking agent polycondensation product formed using organosilicon compound polyalcohol aminocontained skeleton surface modification ti preparation method also disclosed specially：first disperse polyol reaction medium added stirring obtain system a；titanium source scattered decentralized obtains b；reaction b producedthe present synthesized avtive spots space structure increase contact probability glue xanthan molecule chain set form intermolecular effectively improve efficiency make preferable viscoplasticity heat resistance dosage reduced use reduce residue content injury stratum proppant pack,1
various embodiments disclosed relate delayed crosslinking compositions reaction products thereof treatment subterranean formation present invention provides method treating including placing composition least one product includes crosslinker functionality chosen —o—boh—o—boh—o— salt ester combination also glycol,1
invention relates bioenzyme gel breaker applications thereof aqueous solution betamannanase alphagalactosidase crosslinking agent according application method volume parts fracturing fluid base mixed forming obtained mixture taken galactosidase used removing part galactose residues side chains galactomannan mannose glycosidic bonds main chain galactomannans exposed degradation effect mannanase adopted selective combination two enzymes capable realizing highefficiency rapid breaking reducing molecular weight products greatly reservoir damage,1
invention relates enhanced oil recovery method mainly solves problem poor displacement efficiency composition prior art comprises following steps mixing water obtain system contacting oilbearing stratum conditions temperature ℃ total mineralization degree greater mgl simulate field displacing crude wherein components mass part surfactant parts polymer contains concentration wt% zero better used tertiary production,1
improved hydraulic fracturing compositions disclosed help reduce potential negative environmental impact flammability toxicity relatively safe environment may also contain biodegradable components,1
invention discloses clean environmentfriendly hightemperatureresistant nano fracturing fluid preparation method thereof wherein comprises following components parts weight guanidine gum modified lignosulfonate organic boron crosslinking agent part material clay stabilizer cleanup additive gel breaker phase change filler water according compounding phasechange long molecular chain hybridized form stable network structure temperature resistance shear improved excellent sand carrying performance high,1
guar gumnano cellulose fiber crosslinking thickener fracturing fluid comprises following components percentage mass gumpyridine type cation nanocellulose crosslinked material fatty alcoholpolyvinyl ether acrylic acid ptoluenesulfonic nano silicon dioxide dissolving gum naoh adding boric isopropanol bromododecane reacting pyridine drying obtain substance prepared thickening agent strong network structure strength temperature resistance solves problems poor high loss hightemperature consistency current,1
invention discloses kind mixture fracturing fluid system continuously weight percent consists instant guanidine glue ~ multifunctional liquid additive ph adjusting agent gel breaker linking surplus waterfracturing present easily disperses fastswelling continuous high speed stirs base viscosity equal abundant swelling rear properties suitable conventional liquidachieve namely join ie use need clean transport large amount container storing decrease onthespot dosing personnel labor intensity substantially increase working cycleuse multifunction types single simple operate easy control reduces equipmentby coordinating mixing truck realizing fullautomatic reducing force improve production efficiency without dust injury ensure employee healthy,1
invention belongs oilgas field development environment protection particular kind treatment reuse method guar gum crosslinking type fracturing outlet liquid comprise following steps：fracturing carried broken glue oil removing removal except scaleforming ion make purification water quality；returned abovementioned quality melon powder cleanup additive clay stabilizer bactericide added discharge opeing swelled well mixed form fluid base fluid；abovementioned proppant agent sustained release alkali particle gel breaker injected blender truck simultaneously pressure break pump injection stratum mixedthe present solves caused presence remaining early adds sand uneven problem influence pressing crack construction effect；using technique avoid problems sludge low producing ratio property process bands come；meanwhile abundant using returned dosage saved,1
invention relates process method stimulating yield increase phasechange fracturing fluid thick oil layer using ultrasonicassisted heat generating agent comprises following steps firstly determining position perforating preparing phase change later use injecting prefracturing press open gas reservoir form hydraulic fractures containing first thermal fill fracture injected second heavy perform mixed reaction pressed release highpower ultrasonic system put operation displacement prevent flowing back shaft liquid completely power supply closed lifted soaking period time enable phasechanged opening well releasing pressure finishing drainage accelerates rate simultaneously utilizes waves generate large number micro cracks improves productivity,1
invention shows method degrading damaging material within subterranean formation well bore using enzyme treatment filter cakes viscous fluids materials degrades polysaccharidecontaining reduces viscosity degraded cake fluid removed back surface particular enzymes utilized specific type polysaccharide active low moderate temperatures attack linkages ph range,1
heteropolysaccharide known biopolymer ps comprises glucose galactose mannose glucuronic acid fucose pseudoplastic consistency c least poise yield stress value synthesized strain bacillus polymyxa genetically similar microorganism many domestic industrial uses suspending agent thickener,1
methods additives provided bringing delayed release chemical gel breaker demulsifier aqueous fluid pelletized solids comprised released hydratable gelling agent produced hydrated,1
fracturing method wherein improved oilinwater emulsion injected subterranean formation sufficient pressure open fracture constituents thereafter produced contains major volume proportion internal liquid hydrocarbon phase minor external water containing waterdispersible polymeric thickening agent concentration provide apparent viscosity least centipoises f shear rate reciprocal seconds formulated oil constitutes percent preferably,1
new heteropolysaccharide prepared fermentation unnamed alcaligenes species atcc valuable properties thickening suspending stabilizing agent aqueous systems especially useful formulating oil well drilling fluids muds chemical composition acyl groups glucuronic acid neutral sugars mannose glucose rhamnose approximate molar ratio,1
enzyme exhibiting mannanase activity immunologically reactive antibody raised purified derived aspergillus aculeatus cbs encoded dna sequences shown seq id analogue said sequence andor comprises amino acid least homologous thereto may used various purposes degradation modification plant algal cell wall material desirable,1
gelled compositions suitable fracture fluids water diversion agents comprising polymeric viscosifier aldehyde component least one phenolic resorcinol catechol like well selected oxidized materials natural synthetic origin modified tannins additionally contain gel stabilizers chemical buffering,1
pure culture bacillus licheniformis strain atcc process using said surfactant lichenysin produced thereby enhancement oil recovery subterranean formations effective wide range temperatures ph's salt calcium concentrations,1
